date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2019-07-05 14:23,"Dragon's Lair B10",Win,2:45,4444,0,0,Rune,5*,10511,Endure,40.37,4,Rare,DEF 8%,Resistance 3%,HP +133,ATK 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 14:27,"Dragon's Lair B10",Win,2:48,4902,0,1,Rune,5*,13133,Revenge,48.11,5,Hero,HP +270,DEF 5%,CRI Dmg 3%,HP 6%,CRI Rate 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 14:34,"Dragon's Lair B10",Win,2:48,4910,0,2,Rune,5*,11679,Guard,41.93,2,Rare,DEF 8%,HP +243,ATK +11,ATK 5%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 14:40,"Dragon's Lair B10",Win,3:01,4729,0,1,Symbol of Chaos x4,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 14:52,"Dragon's Lair B10",Win,2:39,4573,0,2,Rune,5*,8759,Focus,46.10,3,Rare,DEF +15,SPD +4,HP 7%,HP +260,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 14:56,"Dragon's Lair B10",Win,2:33,4473,0,2,Rune,5*,10511,Endure,51.26,3,Hero,DEF +15,CRI Rate 5%,Accuracy 6%,DEF 6%,HP 5%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 15:07,"Dragon's Lair B10",Win,2:51,5116,0,1,Rune,5*,20065,Shield,52.84,2,Legendary,ATK 8%,SPD +4,Resistance 6%,Accuracy 4%,CRI Rate 5%,ATK +12,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 15:12,"Dragon's Lair B10",Win,2:54,4188,0,1,Rune,5*,11679,Endure,42.38,2,Rare,ATK +15,ATK 4%,CRI Dmg 5%,SPD +3,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 15:20,"Dragon's Lair B10",Win,2:56,4349,0,0,Rune Piece x8,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:13,"Dragon's Lair B10",Win,2:32,4781,0,2,Rune,5*,11912,Endure,46.21,6,Hero,DEF 8%,ATK +14,ATK 4%,DEF +13,CRI Dmg 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:16,"Dragon's Lair B10",Win,2:52,4866,0,0,Rune,5*,10215,Shield,39.75,5,Rare,HP +270,,HP 6%,ATK +11,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:19,"Dragon's Lair B10",Win,2:43,4357,0,0,Rune,5*,7007,Guard,41.74,3,Rare,DEF +15,,Accuracy 7%,Resistance 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:22,"Dragon's Lair B10",Win,2:44,4123,0,1,Rune,5*,9343,Guard,37.72,2,Rare,ATK 8%,,DEF +8,CRI Rate 5%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:25,"Dragon's Lair B10",Win,2:49,4821,0,3,Rune,5*,13770,Violent,45.94,4,Rare,HP +270,Accuracy 6%,DEF 6%,CRI Rate 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:28,"Dragon's Lair B10",Win,2:49,4507,0,0,Rune,5*,12130,Shield,39.06,1,Rare,ATK +15,,Resistance 6%,SPD +3,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:36,"Dragon's Lair B10",Win,2:48,4727,0,2,Rune,5*,10944,Shield,43.31,3,Rare,DEF +15,CRI Dmg 3%,HP 6%,CRI Rate 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:39,"Dragon's Lair B10",Win,2:30,4368,0,1,Rune,5*,16150,Violent,47.27,1,Hero,ATK +15,CRI Rate 3%,CRI Dmg 5%,Accuracy 4%,HP +257,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:43,"Dragon's Lair B10",Win,2:35,4648,0,2,Rune,5*,14015,Focus,45.42,2,Hero,ATK +15,CRI Dmg 3%,HP 5%,HP +267,Accuracy 3%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:47,"Dragon's Lair B10",Win,3:06,4779,0,1,Rune,5*,10880,Violent,40.58,5,Rare,HP +270,,DEF 6%,SPD +4,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:52,"Dragon's Lair B10",Win,3:19,4366,0,2,Rune,6*,19408,Endure,53.32,4,Rare,DEF +22,CRI Dmg 5%,HP 8%,Resistance 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 16:55,"Dragon's Lair B10",Win,2:43,4218,0,1,Rune,5*,13080,Endure,46.92,5,Legendary,HP +270,,CRI Dmg 3%,Accuracy 7%,ATK +10,CRI Rate 3%,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 17:00,"Dragon's Lair B10",Win,2:39,5025,0,1,Symbol of Transcendence x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 17:04,"Dragon's Lair B10",Win,2:58,4824,0,1,Rune,5*,7941,Focus,40.22,6,Rare,DEF 8%,,Accuracy 6%,CRI Rate 5%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 17:09,"Dragon's Lair B10",Win,2:50,4255,0,0,Rune,5*,12613,Endure,49.30,4,Hero,DEF +15,CRI Rate 5%,ATK +12,Accuracy 6%,ATK 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 17:19,"Dragon's Lair B10",Win,3:21,4511,0,1,Rune,6*,26945,Violent,58.97,6,Hero,ATK +22,CRI Dmg 5%,CRI Rate 4%,Resistance 8%,HP 7%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 17:24,"Dragon's Lair B10",Win,2:33,3980,0,0,Rune,6*,30554,Shield,57.39,2,Hero,DEF 11%,ATK 8%,HP +294,HP 5%,Accuracy 5%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 17:27,"Dragon's Lair B10",Win,3:01,4139,0,0,Rune,5*,10511,Focus,47.69,4,Hero,DEF +15,,Accuracy 7%,SPD +5,HP 6%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 17:31,"Dragon's Lair B10",Win,2:30,4826,0,1,Rune,5*,11095,Focus,45.61,1,Rare,ATK +15,CRI Rate 5%,Accuracy 4%,SPD +5,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:10,"Dragon's Lair B10",Win,2:48,4709,0,0,Unknown Scroll x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:15,"Dragon's Lair B10",Win,2:50,4517,0,2,Rune,5*,12312,Shield,48.93,3,Hero,DEF +15,CRI Rate 4%,CRI Dmg 5%,HP 7%,Resistance 3%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:21,"Dragon's Lair B10",Win,2:49,4382,1,3,Rune,5*,7941,Endure,38.22,6,Rare,Resistance 9%,,CRI Dmg 4%,HP +298,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:29,"Dragon's Lair B10",Win,3:02,3931,0,0,Symbol of Transcendence x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:35,"Dragon's Lair B10",Win,2:52,4363,0,1,Symbol of Transcendence x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:47,"Dragon's Lair B10",Win,2:38,4860,0,1,Rune,5*,10511,Endure,43.81,4,Rare,CRI Rate 5%,DEF 7%,HP +265,DEF +10,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:50,"Dragon's Lair B10",Win,2:43,4720,0,1,Rune,5*,9927,Focus,42.64,6,Hero,ATK 8%,,DEF +12,HP 6%,CRI Dmg 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 18:53,"Dragon's Lair B10",Win,2:39,4221,0,0,Rune,6*,24583,Guard,58.33,1,Hero,ATK +22,SPD +4,Resistance 7%,Accuracy 7%,HP 6%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 19:21,"Dragon's Lair B10",Win,2:56,4328,0,1,Rune,5*,8759,Guard,43.50,3,Hero,DEF +15,,Resistance 7%,HP +139,HP 5%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 19:24,"Dragon's Lair B10",Win,2:40,4178,0,1,Rune,5*,11679,Endure,42.08,2,Rare,DEF 8%,Accuracy 5%,HP +129,Resistance 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 19:31,"Dragon's Lair B10",Win,2:34,4709,0,1,Symbol of Harmony x6,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:07,"Dragon's Lair B10",Win,2:58,4754,0,1,Rune,5*,13863,Shield,42.33,1,Rare,ATK +15,HP 4%,HP +203,CRI Rate 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:10,"Dragon's Lair B10",Win,2:59,4324,1,0,Rune,5*,8409,Endure,39.51,4,Rare,DEF 8%,,ATK +13,SPD +5,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:15,"Dragon's Lair B10",Win,3:06,4697,0,0,Symbol of Transcendence x11,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:19,"Dragon's Lair B10",Win,3:10,4364,0,0,Rune,6*,25661,Focus,60.00,6,Legendary,DEF +22,,ATK +18,Resistance 6%,SPD +6,Accuracy 6%,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:23,"Dragon's Lair B10",Win,2:57,4641,0,0,Rune,5*,20065,Revenge,49.78,2,Legendary,DEF +15,CRI Rate 3%,HP 4%,ATK 7%,Resistance 3%,SPD +3,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:27,"Dragon's Lair B10",Win,2:54,4588,0,3,Rune,5*,14593,Revenge,45.31,2,Rare,DEF +15,HP 6%,ATK 4%,DEF 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:32,"Dragon's Lair B10",Win,3:14,4324,0,1,Rune,6*,24443,Shield,57.14,5,Hero,HP +360,CRI Rate 4%,SPD +5,Accuracy 6%,ATK 6%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 21:59,"Dragon's Lair B10",Win,2:34,4221,0,0,Symbol of Transcendence x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 22:02,"Dragon's Lair B10",Win,2:47,4039,0,1,Rune,5*,12769,Revenge,38.81,2,Rare,DEF +15,,HP 4%,CRI Dmg 5%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 22:17,"Dragon's Lair B10",Win,3:03,4853,0,1,Rune Piece x12,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 22:48,"Dragon's Lair B10",Win,3:39,4308,0,2,Rune,6*,24092,Violent,44.81,1,Rare,ATK +22,,HP 5%,HP +243,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 22:52,"Dragon's Lair B10",Win,3:03,4370,0,0,Rune,5*,11492,Revenge,40.59,4,Rare,ATK +15,,CRI Dmg 5%,ATK 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-05 23:08,"Dragon's Lair B10",Win,2:43,4381,0,0,Symbol of Transcendence x9,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
