date,dungeon,result,time,mana,crystal,energy,drop,grade,sell_value,set,efficiency,slot,rarity,main_stat,prefix_stat,sub1,sub2,sub3,sub4,team1,team2,team3,team4,team5
2019-07-10 14:30,"Dragon's Lair B10",Win,2:45,4504,0,2,Rune,6*,21397,Violent,50.60,3,Rare,DEF +22,SPD +5,Resistance 5%,Accuracy 5%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:33,"Dragon's Lair B10",Win,2:38,4273,0,3,Rune,5*,11212,Endure,49.37,5,Hero,HP +270,DEF 7%,ATK +12,CRI Dmg 4%,DEF +12,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:37,"Dragon's Lair B10",Win,2:26,4524,0,0,Rune,5*,10511,Focus,46.16,3,Hero,DEF +15,DEF 6%,HP +232,SPD +3,Accuracy 3%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:41,"Dragon's Lair B10",Win,2:52,4459,0,1,Symbol of Transcendence x10,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:43,"Dragon's Lair B10",Win,2:34,5131,0,1,Rune,5*,9343,Endure,39.15,2,Rare,DEF 8%,,SPD +5,HP +225,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:46,"Dragon's Lair B10",Win,2:45,4706,0,0,Rune,5*,13863,Shield,40.07,1,Hero,ATK +15,,CRI Dmg 4%,HP +120,ATK 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:50,"Dragon's Lair B10",Win,2:52,4741,0,2,Rune,5*,15596,Revenge,48.04,1,Hero,ATK +15,HP 4%,ATK 7%,Accuracy 5%,HP +190,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:53,"Dragon's Lair B10",Win,2:58,4410,0,0,Rune,6*,14663,Endure,42.65,6,Rare,DEF +22,,CRI Dmg 4%,HP +150,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 14:57,"Dragon's Lair B10",Win,2:41,4632,0,2,Rune,6*,13801,Focus,47.92,5,Rare,HP +360,,SPD +5,ATK 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:06,"Dragon's Lair B10",Win,2:50,4269,0,1,Rune,5*,13863,Shield,41.78,2,Hero,SPD +15,,HP +127,Accuracy 5%,CRI Rate 4%,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:15,"Dragon's Lair B10",Win,2:54,4128,0,0,Rune,5*,10215,Revenge,39.39,5,Rare,HP +270,,ATK 6%,HP 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:18,"Dragon's Lair B10",Win,2:43,4374,0,1,Rune,6*,22824,Violent,50.83,5,Rare,HP +360,Accuracy 4%,DEF +19,CRI Rate 4%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:21,"Dragon's Lair B10",Win,2:41,4737,0,0,Rune Piece x11,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:25,"Dragon's Lair B10",Win,2:41,4616,0,1,Rune,5*,14716,Focus,46.55,4,Legendary,CRI Dmg 8%,,DEF +11,HP +283,DEF 4%,ATK +13,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:29,"Dragon's Lair B10",Win,2:56,4647,0,0,Rune,5*,12769,Shield,38.35,2,Rare,DEF +15,,ATK +8,Accuracy 6%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:52,"Dragon's Lair B10",Win,2:27,4577,0,0,Rune,5*,8759,Focus,46.25,3,Rare,DEF +15,SPD +4,CRI Dmg 5%,Resistance 7%,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:56,"Dragon's Lair B10",Win,3:01,4236,1,2,Shapeshifting Stone x3,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 15:59,"Dragon's Lair B10",Win,2:36,4271,0,0,Rainbowmon 2,,,,,,,,,,,,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
2019-07-10 16:02,"Dragon's Lair B10",Win,2:38,4488,0,0,Rune,5*,13133,Shield,53.08,5,Hero,HP +270,CRI Rate 5%,Accuracy 5%,Resistance 7%,SPD +5,,Verdehile,Veromos,Spectra,Belladeon,Sigmarus
